wavelength[um] flux[W/m2/um]
9.07346368e-01 3.15490922e-15
9.19416606e-01 3.68637334e-15
9.31809068e-01 4.00711352e-15
9.44516301e-01 4.82252160e-15
9.57554698e-01 5.47879421e-15
9.70915139e-01 6.34094304e-15
9.84607875e-01 7.14851940e-15
9.98636425e-01 7.49760695e-15
1.01299632e+00 8.46227594e-15
1.02768850e+00 9.69943878e-15
1.04271197e+00 1.09219846e-14
1.05806446e+00 1.20349860e-14
1.07374191e+00 1.24528893e-14
1.08973861e+00 1.21492619e-14
1.10605323e+00 1.02300145e-14
1.12267518e+00 8.83537066e-15
1.13959289e+00 8.58786260e-15
1.15680337e+00 8.94022598e-15
1.17429018e+00 8.92819239e-15
1.19204593e+00 1.09965969e-14
1.21005309e+00 1.33084574e-14
1.22830546e+00 1.51690018e-14
1.24678290e+00 1.55995258e-14
1.26547158e+00 1.68404547e-14
1.28435922e+00 1.71832425e-14
1.30342889e+00 1.62133349e-14
1.32266414e+00 1.33440180e-14
1.34204972e+00 6.20437722e-15
1.36157012e+00 3.08493205e-15
1.38120997e+00 2.87475474e-15
1.40095389e+00 2.74729685e-15
1.42078710e+00 2.61178673e-15
1.44069517e+00 3.03867400e-15
1.46066415e+00 3.98495278e-15
1.48068058e+00 4.80822458e-15
1.50073171e+00 5.67564089e-15
1.52080536e+00 7.14150043e-15
1.54089010e+00 9.01337724e-15
1.62113380e+00 1.07826436e-14
1.64112532e+00 1.01713420e-14
1.66107309e+00 9.96067051e-15
1.68097019e+00 9.49635459e-15
1.70081043e+00 8.95425210e-15
1.72058809e+00 8.04427692e-15
1.74029768e+00 6.78650881e-15
1.75993502e+00 5.53983973e-15
1.77949500e+00 4.43788388e-15
1.79897463e+00 3.58175208e-15
1.81837010e+00 3.13879508e-15
1.83767867e+00 3.00217192e-15
1.85689795e+00 2.64459602e-15
1.87602544e+00 2.71995648e-15
1.89505923e+00 3.27016101e-15
1.91399646e+00 3.34154119e-15
1.93283689e+00 3.04307655e-15
1.95157981e+00 2.82015598e-15
1.97022402e+00 3.00686551e-15
1.98876667e+00 3.30354105e-15
2.00720954e+00 3.67785514e-15
2.02555203e+00 4.27405039e-15
2.04379225e+00 4.70792375e-15
2.06193161e+00 4.90503960e-15
2.07997012e+00 5.27318202e-15
2.09790611e+00 5.44810722e-15
2.11574244e+00 5.45632006e-15
2.13347673e+00 5.28122897e-15
2.15111160e+00 5.08911964e-15
2.16864586e+00 4.84347297e-15
2.18608141e+00 4.30356540e-15
2.20341754e+00 3.70246290e-15
2.22065663e+00 3.33530569e-15
2.23779678e+00 3.11524200e-15
2.25484157e+00 2.80890595e-15
2.27178907e+00 2.61563427e-15
2.28864217e+00 2.34346879e-15
2.30540156e+00 2.07213226e-15
2.32206583e+00 1.92530411e-15
2.33863831e+00 1.76003151e-15
2.35511994e+00 1.81304283e-15
2.37150908e+00 1.83320562e-15
2.38780880e+00 1.80555331e-15
2.40401983e+00 1.97048144e-15
2.42014337e+00 2.08777518e-15
2.43617821e+00 2.06913800e-15
2.45212698e+00 2.05296148e-15
2.46799088e+00 1.96417404e-15
2.48377061e+00 1.87396339e-15
2.49946690e+00 1.73877598e-15
2.51508069e+00 1.54649062e-15
2.53061223e+00 1.39175147e-15
2.54606295e+00 1.29629214e-15
2.56143379e+00 1.23496904e-15
2.57672596e+00 1.24048224e-15
2.59194016e+00 1.22170531e-15
2.60707712e+00 1.31213642e-15
2.62213802e+00 1.46710323e-15
2.63712335e+00 1.59241777e-15
2.65203428e+00 1.65115888e-15
2.66687155e+00 1.38865963e-15
2.68163586e+00 1.06408894e-15
2.69632840e+00 1.07959143e-15
2.71094990e+00 1.13616002e-15
2.72550106e+00 1.20924220e-15
2.73998237e+00 1.30864585e-15
2.75439453e+00 1.34098982e-15
2.76873875e+00 1.23638529e-15
2.78301597e+00 1.23570419e-15
2.79722691e+00 1.29112590e-15
2.81137228e+00 1.25590394e-15
2.82545328e+00 1.34314863e-15
2.83946896e+00 1.35962890e-15
2.85342121e+00 1.36358563e-15
2.86731100e+00 1.43278895e-15
2.88113904e+00 1.50241347e-15
2.89490581e+00 1.54401274e-15
2.90861082e+00 1.60788039e-15
2.92225623e+00 1.67609902e-15
2.93584323e+00 1.76593881e-15
2.94937038e+00 1.71094054e-15
2.96283960e+00 1.79114629e-15
2.97625184e+00 1.88120952e-15
2.98960733e+00 1.95127798e-15
3.00290561e+00 1.92888713e-15
3.01614952e+00 1.94336239e-15
3.02933788e+00 2.02469599e-15
3.04247141e+00 2.02269851e-15
3.05555224e+00 1.92006425e-15
3.06857824e+00 1.87289309e-15
3.08155251e+00 1.76813329e-15
3.09447479e+00 1.60260993e-15
3.10734463e+00 1.52197197e-15
3.12016463e+00 1.40035648e-15
3.13293242e+00 1.24821071e-15
3.14565182e+00 1.10770181e-15
3.15832019e+00 1.00932487e-15
3.17094064e+00 9.32723710e-16
3.18351173e+00 8.82006394e-16
3.19603562e+00 8.30018508e-16
3.20851088e+00 8.07238855e-16
3.22094035e+00 8.33968119e-16
3.23332167e+00 8.59934556e-16
3.24565840e+00 9.37468774e-16
3.25794840e+00 1.03377602e-15
3.27019429e+00 1.11247394e-15
3.28239369e+00 1.24208364e-15
3.29454994e+00 1.28612210e-15
3.30666113e+00 1.14889262e-15
3.31872988e+00 6.58780855e-16
3.33075571e+00 4.20979420e-16
3.34195757e+00 4.87893129e-16
3.35390043e+00 6.71291727e-16
3.36580205e+00 8.65523919e-16
3.37766123e+00 9.67240697e-16
3.38947988e+00 9.95588663e-16
3.40125728e+00 1.00539792e-15
3.41299391e+00 9.69696268e-16
3.42469144e+00 9.71772401e-16
3.43634868e+00 9.62629107e-16
3.44796681e+00 9.78893664e-16
